Complex,logFC,AveExpr,t,P.Value,adj.P.Val,B,Lineage
Lineage,NA,NA,NA,NA,NA,NA,Acute Myeloid Leukemia
ACF,0.08691568461099712,0.2940597214083108,2.7543901649429476,0.0059800362422187245,0.022380427268772048,-2.9691019672790806,Acute Myeloid Leukemia
ATAC,0.00277104648925391,0.2862401943992777,0.11645148643135864,0.9073166264307762,0.9368907506433053,-6.689010769891188,Acute Myeloid Leukemia
BAF (canonical/cBAF),0.07410142915034593,0.28103164933152663,4.971066884293592,7.75173267648084e-7,1.6666225254433805e-5,5.3455274180301835,Acute Myeloid Leukemia
BCOR complex,0.01630865681651494,0.07688398925835595,1.5268187003131952,0.1271021227539217,0.24842687629175603,-5.547762839291989,Acute Myeloid Leukemia
BRCA1-A,-0.08654163568287714,0.23973389480036114,-4.2646044346991685,2.179883238488419e-5,1.4420763503290512e-4,2.193298451395542,Acute Myeloid Leukemia
CAF-1,0.012654687841545201,0.9690249844625101,1.3574141372647173,0.17493636335106388,0.28931783169599024,-5.7881533244631855,Acute Myeloid Leukemia
CHRAC,0.038047425697995525,0.26206692106594376,1.4980984963604405,0.13440316245615275,0.251275477635416,-5.590497520358665,Acute Myeloid Leukemia
DAXX-ATRX,0.06852678185897483,0.25018074947967495,1.7988733388169162,0.07232096809074161,0.1727667571056605,-5.1029134688521,Acute Myeloid Leukemia
DNMT1-UHRF1,-0.03532800652779043,0.7253934436802176,-0.8475097731574119,0.3969009302842441,0.5688913334074166,-6.341728302704435,Acute Myeloid Leukemia
Elongator,-0.010676175156721403,0.7476231388617897,-0.31651860861654785,0.7516707583251427,0.8287651950764395,-6.646310323438494,Acute Myeloid Leukemia
FACT,0.005820876102555202,0.9846571827461597,0.9391021809235154,0.34789057641757715,0.5158377512398558,-6.261119664279837,Acute Myeloid Leukemia
G9a/GLP,0.02082781000906446,0.1813339326617885,0.6948813329394224,0.4872808207505164,0.6547836028835063,-6.457713997899602,Acute Myeloid Leukemia
HAT1 complex,0.004801765632975439,0.5070069141011739,0.32172140551428996,0.7477267056549204,0.8287651950764395,-6.644673510984664,Acute Myeloid Leukemia
HBO1,0.06223105540718197,0.1272006936982836,4.544368038716151,6.138124812295261e-6,6.598484173217406e-5,3.386192936835151,Acute Myeloid Leukemia
HIRA,0.009468752995185101,0.42351438993766954,0.3492259973856394,0.7269884943523336,0.8287651950764395,-6.635577105439558,Acute Myeloid Leukemia
INO80,0.0054512665650284335,0.6562516235772355,0.2503163554013218,0.8023908535893598,0.8625701676085618,-6.664808037410511,Acute Myeloid Leukemia
LSD1-CoREST,0.042179044545016225,0.15410883043179746,2.39998696827862,0.016566064265427692,0.052064194297819166,-3.863951996676279,Acute Myeloid Leukemia
MLL1/MLL2 (KMT2A/KMT2B),0.03654396870899182,0.4921214235772354,1.6226599043558771,0.1049572598035538,0.22451720874450418,-5.399309574641748,Acute Myeloid Leukemia
MLL3/MLL4 (KMT2C/KMT2D),0.05458816375794749,0.3775775624299912,2.7400325101601077,0.006245700633145688,0.022380427268772048,-3.0077140781801064,Acute Myeloid Leukemia
MOZ/MORF,0.07756516489949553,0.1292105213351399,4.784358708259766,1.9560999195457895e-6,2.8037432180156316e-5,4.467478467084694,Acute Myeloid Leukemia
MSL,0.02250101667809301,0.3698017822041551,1.3852266077881414,0.16627240287792963,0.28598853295003895,-5.750616694497714,Acute Myeloid Leukemia
Menin-MLL,0.041506082633706635,0.532817426829269,1.6917580977651867,0.09098383075255387,0.20591077486104295,-5.286703028845548,Acute Myeloid Leukemia
NSL,0.007344021010349904,0.690279032429991,0.6521251870016782,0.514460708526233,0.6703578929281219,-6.486093428286755,Acute Myeloid Leukemia
NURF,0.01799168694948031,0.430541240740741,0.9472767470178436,0.34371206127468035,0.5158377512398558,-6.253524244174205,Acute Myeloid Leukemia
NoRC,0.12029319578326952,0.2806835276856367,3.959861367462771,7.99605642137048e-5,4.297880326486633e-4,0.9773120516263667,Acute Myeloid Leukemia
NuA4/TIP60,0.023137691213233683,0.7442379977416442,1.4556555098172557,0.14578171858720565,0.2611922458020768,-5.652171632141475,Acute Myeloid Leukemia
NuRD (Mi-2/NuRD),0.004679194162934366,0.23344356913279152,0.4822959275583372,0.629694547275161,0.7963783980244683,-6.581038684729479,Acute Myeloid Leukemia
PBAF,0.12584822110633476,0.3440632730803972,5.513081882167891,4.4205156414923365e-8,1.9008217258417047e-6,8.075346185181983,Acute Myeloid Leukemia
PCAF complex,0.048556729289494976,0.4083963325654916,2.3915173282380193,0.016951133027196936,0.052064194297819166,-3.883849396730807,Acute Myeloid Leukemia
PR-DUB,0.0020408748491191706,0.19108004058717235,0.10156961442336407,0.9191173645206275,0.9368907506433053,-6.6906102300562145,Acute Myeloid Leukemia
PRC1 (canonical and variant PCGF complexes),0.012260199663821551,0.0774263117434509,1.9453818167872434,0.05199110828743673,0.13150692096233996,-4.8333850517817805,Acute Myeloid Leukemia
PRC2,0.0053801546721081945,0.2068612206504066,0.41108516237683357,0.6810925434030822,0.8135272046203482,-6.6123947619433565,Acute Myeloid Leukemia
Piccolo NuA4,-0.0201069300440605,0.7310030581752486,-0.6962831657377861,0.48640301853877443,0.6547836028835063,-6.456753055603617,Acute Myeloid Leukemia
RSF,0.126399689499692,0.25863721200632345,4.368003565803398,1.3759459182371539e-5,1.1833134896839523e-4,2.625668689410812,Acute Myeloid Leukemia
SAGA,0.04885572146237026,0.3105263303613374,2.194428880241821,0.02841936394786125,0.08146884331720225,-4.32719618503196,Acute Myeloid Leukemia
SET1C/COMPASS,0.009442292987211519,0.589783839656728,0.418309688996148,0.6758048064989501,0.8135272046203482,-6.609441347449575,Acute Myeloid Leukemia
SETDB1-ATF7IP/KAP1,0.09149870798620198,0.2953410291228548,2.806865872820913,0.005093592297470587,0.021902446879123523,-2.82628717252411,Acute Myeloid Leukemia
SRCAP,0.027740834710262535,0.8039866308943082,1.6011116010511997,0.10964793915429275,0.22451720874450418,-5.43347040695569,Acute Myeloid Leukemia
STAGA/TFTC,0.0010477796057925478,0.252413731020777,0.0791970167034191,0.9368907506433053,0.9368907506433053,-6.692603901831638,Acute Myeloid Leukemia
SUV39H1/2-HP1,-0.010113036004836158,0.10173277260252934,-0.9953562541556612,0.31978843951207114,0.5092926999636689,-6.2075215712394085,Acute Myeloid Leukemia
WICH / B-WICH,0.13354451736159342,0.3771652369105695,3.5618844842377393,3.844371033489389e-4,0.0018367550493338192,-0.47875953431260587,Acute Myeloid Leukemia
mSin3A/HDAC,-0.0258566904862815,0.30224111428184264,-2.1354901165151823,0.03294793258659855,0.0885475688264836,-4.452443994569059,Acute Myeloid Leukemia
ncBAF (non-canonical BAF / bBAF),0.08038581073345083,0.35936621971996374,4.247744517193615,2.3475661516984553e-5,1.4420763503290512e-4,2.1237460730109916,Acute Myeloid Leukemia
Lineage,NA,NA,NA,NA,NA,NA,Ampullary Carcinoma
ACF,0.2089254254402653,0.2940597214083108,2.771320899475101,0.0056798906372002396,0.12211764869980515,-2.3436478016380473,Ampullary Carcinoma
