term,p-value,q-value
p53 Pathway,5.9171735626838346e-06,0.00024852128963272105
Complement,0.0007403552582265594,0.015547460422757748
Coagulation,0.0014396364786393408,0.02015491070095077
Reactive Oxygen Species Pathway,0.002848524799124709,0.021086101319100062
mTORC1 Signaling,0.003012300188442866,0.021086101319100062
Epithelial Mesenchymal Transition,0.003012300188442866,0.021086101319100062
Protein Secretion,0.006126028015601387,0.03675616809360832
Myogenesis,0.03454492697919024,0.13512193592344682
heme Metabolism,0.03454492697919024,0.13512193592344682
TNF-alpha Signaling via NF-kB,0.03454492697919024,0.13512193592344682
DNA Repair,0.03538907845614083,0.13512193592344682
Apoptosis,0.045647262723379815,0.1548366134837875
Unfolded Protein Response,0.04792561845926756,0.1548366134837875
