CellLine,Lineage
ACH-000001,Ovarian Epithelial Tumor
ACH-000004,Acute Myeloid Leukemia
ACH-000005,Acute Myeloid Leukemia
ACH-000007,Colorectal Adenocarcinoma
ACH-000009,Colorectal Adenocarcinoma
ACH-000011,Bladder Urothelial Carcinoma
ACH-000012,Non-Small Cell Lung Cancer
ACH-000013,Ovarian Epithelial Tumor
ACH-000014,Melanoma
ACH-000015,Non-Small Cell Lung Cancer
ACH-000017,Invasive Breast Carcinoma
ACH-000018,Bladder Urothelial Carcinoma
ACH-000019,Invasive Breast Carcinoma
ACH-000021,Non-Small Cell Lung Cancer
ACH-000022,Pancreatic Adenocarcinoma
ACH-000023,Pancreatic Adenocarcinoma
ACH-000024,Mature B-Cell Neoplasms
ACH-000026,Bladder Urothelial Carcinoma
ACH-000028,Invasive Breast Carcinoma
ACH-000029,Non-Small Cell Lung Cancer
ACH-000030,Non-Small Cell Lung Cancer
ACH-000035,Non-Small Cell Lung Cancer
ACH-000036,Diffuse Glioma
ACH-000039,Ewing Sarcoma
ACH-000040,Diffuse Glioma
ACH-000041,Ewing Sarcoma
ACH-000042,Pancreatic Adenocarcinoma
ACH-000045,Acute Myeloid Leukemia
ACH-000047,Esophagogastric Adenocarcinoma
ACH-000048,Ovarian Epithelial Tumor
ACH-000052,Ewing Sarcoma
ACH-000053,Mature T and NK Neoplasms
ACH-000055,Embryonal Tumor
ACH-000060,Pancreatic Adenocarcinoma
ACH-000067,Diffuse Glioma
ACH-000070,B-Cell Acute Lymphoblastic Leukemia
ACH-000074,Myeloproliferative Neoplasms
ACH-000075,Diffuse Glioma
ACH-000076,Myeloproliferative Neoplasms
ACH-000077,Non-Hodgkin Lymphoma
ACH-000078,Neuroblastoma
ACH-000082,Osteosarcoma
ACH-000085,Pancreatic Adenocarcinoma
ACH-000086,Pleural Mesothelioma
ACH-000087,Ewing Sarcoma
ACH-000090,Prostate Adenocarcinoma
ACH-000092,Pleural Mesothelioma
ACH-000093,Pancreatic Adenocarcinoma
ACH-000094,Pancreatic Adenocarcinoma
ACH-000095,Embryonal Tumor
ACH-000096,Rhabdoid Cancer
ACH-000097,Invasive Breast Carcinoma
ACH-000098,Diffuse Glioma
ACH-000099,Neuroblastoma
ACH-000100,Rhabdomyosarcoma
ACH-000101,T-Lymphoblastic Leukemia/Lymphoma
ACH-000103,Ovarian Epithelial Tumor
ACH-000106,Mature B-Cell Neoplasms
ACH-000111,Invasive Breast Carcinoma
ACH-000113,Acute Myeloid Leukemia
ACH-000114,Pancreatic Adenocarcinoma
ACH-000115,Prostate Adenocarcinoma
ACH-000116,Ovarian Epithelial Tumor
ACH-000118,Pancreatic Adenocarcinoma
ACH-000120,Neuroblastoma
ACH-000123,Ovarian Epithelial Tumor
ACH-000124,Mature B-Cell Neoplasms
ACH-000127,Bladder Urothelial Carcinoma
ACH-000128,Diffuse Glioma
ACH-000132,Ovarian Epithelial Tumor
ACH-000137,Diffuse Glioma
ACH-000138,Pancreatic Adenocarcinoma
ACH-000139,Pancreatic Adenocarcinoma
ACH-000141,Intracholecystic Papillary Neoplasm
ACH-000142,Bladder Urothelial Carcinoma
ACH-000143,Non-Small Cell Lung Cancer
ACH-000144,Esophagogastric Adenocarcinoma
ACH-000146,Acute Myeloid Leukemia
ACH-000147,Invasive Breast Carcinoma
ACH-000148,Invasive Breast Carcinoma
ACH-000149,Neuroblastoma
ACH-000151,B-Cell Acute Lymphoblastic Leukemia
ACH-000152,Diffuse Glioma
ACH-000153,Pleural Mesothelioma
ACH-000155,Pancreatic Adenocarcinoma
ACH-000159,Renal Cell Carcinoma
ACH-000160,Embryonal Tumor
ACH-000161,Non-Small Cell Lung Cancer
ACH-000163,Head and Neck Squamous Cell Carcinoma
ACH-000164,Pancreatic Adenocarcinoma
ACH-000167,Mature B-Cell Neoplasms
ACH-000168,Acute Myeloid Leukemia
ACH-000169,Rhabdomyosarcoma
ACH-000172,Rhabdoid Cancer
ACH-000174,Anaplastic Thyroid Cancer
ACH-000176,Non-Small Cell Lung Cancer
ACH-000178,Pancreatic Adenocarcinoma
ACH-000181,Head and Neck Squamous Cell Carcinoma
ACH-000182,Ampullary Carcinoma
ACH-000183,Mature B-Cell Neoplasms
ACH-000187,Lung Neuroendocrine Tumor
ACH-000188,Head and Neck Squamous Cell Carcinoma
ACH-000189,Renal Cell Carcinoma
ACH-000190,Acute Myeloid Leukemia
ACH-000191,Anaplastic Thyroid Cancer
ACH-000192,Endometrial Carcinoma
ACH-000195,Acute Myeloid Leukemia
ACH-000198,Acute Myeloid Leukemia
ACH-000200,Diffuse Glioma
ACH-000202,Colorectal Adenocarcinoma
ACH-000203,Neuroblastoma
ACH-000204,Mature B-Cell Neoplasms
ACH-000207,Head and Neck Squamous Cell Carcinoma
ACH-000208,Diffuse Glioma
ACH-000209,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000210,Ewing Sarcoma
ACH-000211,Embryonal Tumor
ACH-000212,Invasive Breast Carcinoma
ACH-000213,Pancreatic Adenocarcinoma
ACH-000215,Diffuse Glioma
ACH-000216,Esophagogastric Adenocarcinoma
ACH-000217,Hepatocellular Carcinoma
ACH-000219,Melanoma
ACH-000221,Hepatocellular Carcinoma
ACH-000222,Pancreatic Adenocarcinoma
ACH-000223,Invasive Breast Carcinoma
ACH-000226,Mature T and NK Neoplasms
ACH-000227,Neuroblastoma
ACH-000228,Head and Neck Squamous Cell Carcinoma
ACH-000231,Diffuse Glioma
ACH-000232,Diffuse Glioma
ACH-000233,Mature T and NK Neoplasms
ACH-000234,Renal Cell Carcinoma
ACH-000235,Pancreatic Adenocarcinoma
ACH-000237,Ovarian Epithelial Tumor
ACH-000238,Head and Neck Squamous Cell Carcinoma
ACH-000239,Esophagogastric Adenocarcinoma
ACH-000242,Bladder Urothelial Carcinoma
ACH-000243,Pancreatic Adenocarcinoma
ACH-000244,Diffuse Glioma
ACH-000246,Renal Cell Carcinoma
ACH-000247,Esophagogastric Adenocarcinoma
ACH-000248,Invasive Breast Carcinoma
ACH-000249,Colorectal Adenocarcinoma
ACH-000250,Renal Cell Carcinoma
ACH-000251,Non-Small Cell Lung Cancer
ACH-000252,Colorectal Adenocarcinoma
ACH-000253,Colorectal Adenocarcinoma
ACH-000255,Esophagogastric Adenocarcinoma
ACH-000256,Ovarian Epithelial Tumor
ACH-000257,Lung Neuroendocrine Tumor
ACH-000258,Invasive Breast Carcinoma
ACH-000259,Neuroblastoma
ACH-000260,Neuroblastoma
ACH-000261,Non-Small Cell Lung Cancer
ACH-000262,Renal Cell Carcinoma
ACH-000263,Acute Myeloid Leukemia
ACH-000264,Non-Small Cell Lung Cancer
ACH-000265,Pancreatic Adenocarcinoma
ACH-000266,Pancreatic Adenocarcinoma
ACH-000268,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000269,Diffuse Glioma
ACH-000271,Mature B-Cell Neoplasms
ACH-000272,Renal Cell Carcinoma
ACH-000273,Diffuse Glioma
ACH-000274,Melanoma
ACH-000276,Invasive Breast Carcinoma
ACH-000277,Invasive Breast Carcinoma
ACH-000278,Ovarian Epithelial Tumor
ACH-000279,Ewing Sarcoma
ACH-000280,Ovarian Epithelial Tumor
ACH-000281,Pancreatic Adenocarcinoma
ACH-000286,Colorectal Adenocarcinoma
ACH-000288,Invasive Breast Carcinoma
ACH-000290,Lung Neuroendocrine Tumor
ACH-000291,Ovarian Epithelial Tumor
ACH-000293,Endometrial Carcinoma
ACH-000294,Acute Myeloid Leukemia
ACH-000295,Myeloproliferative Neoplasms
ACH-000296,Colorectal Adenocarcinoma
ACH-000302,Endometrial Carcinoma
ACH-000303,Esophagogastric Adenocarcinoma
ACH-000304,Melanoma
ACH-000305,Esophageal Squamous Cell Carcinoma
ACH-000307,Pancreatic Adenocarcinoma
ACH-000308,Ovarian Epithelial Tumor
ACH-000310,Neuroblastoma
ACH-000311,Non-Small Cell Lung Cancer
ACH-000312,Neuroblastoma
ACH-000313,Renal Cell Carcinoma
ACH-000315,Mature B-Cell Neoplasms
ACH-000316,Hepatocellular Carcinoma
ACH-000317,Renal Cell Carcinoma
ACH-000318,Esophageal Squamous Cell Carcinoma
ACH-000319,Pleural Mesothelioma
ACH-000320,Pancreatic Adenocarcinoma
ACH-000322,Melanoma
ACH-000323,Diffuse Glioma
ACH-000324,Ovarian Epithelial Tumor
ACH-000325,Esophagogastric Adenocarcinoma
ACH-000326,Myeloproliferative Neoplasms
ACH-000329,Diffuse Glioma
ACH-000330,Invasive Breast Carcinoma
ACH-000331,Pleural Mesothelioma
ACH-000332,Pancreatic Adenocarcinoma
ACH-000334,Mature B-Cell Neoplasms
ACH-000335,Pleural Mesothelioma
ACH-000336,Acute Myeloid Leukemia
ACH-000337,Non-Small Cell Lung Cancer
ACH-000338,Mature T and NK Neoplasms
ACH-000339,Non-Small Cell Lung Cancer
ACH-000341,Neuroblastoma
ACH-000343,Non-Small Cell Lung Cancer
ACH-000344,Esophagogastric Adenocarcinoma
ACH-000345,Neuroblastoma
ACH-000346,Mature B-Cell Neoplasms
ACH-000348,Melanoma
ACH-000350,Colorectal Adenocarcinoma
ACH-000352,Invasive Breast Carcinoma
ACH-000354,Pancreatic Adenocarcinoma
ACH-000355,Lung Neuroendocrine Tumor
ACH-000356,Esophagogastric Adenocarcinoma
ACH-000359,Osteosarcoma
ACH-000361,Hepatocellular Carcinoma
ACH-000362,Acute Myeloid Leukemia
ACH-000363,Mature B-Cell Neoplasms
ACH-000364,Osteosarcoma
ACH-000365,Mature B-Cell Neoplasms
ACH-000366,Neuroblastoma
ACH-000367,Pleural Mesothelioma
ACH-000368,Diffuse Glioma
ACH-000370,Diffuse Glioma
ACH-000371,Mature B-Cell Neoplasms
ACH-000373,Acute Myeloid Leukemia
ACH-000374,Invasive Breast Carcinoma
ACH-000375,Rhabdoid Cancer
ACH-000376,Diffuse Glioma
ACH-000377,Ampullary Carcinoma
ACH-000378,Non-Small Cell Lung Cancer
ACH-000381,Colorectal Adenocarcinoma
ACH-000383,Esophagogastric Adenocarcinoma
ACH-000385,Renal Cell Carcinoma
ACH-000387,Acute Myeloid Leukemia
ACH-000389,Diffuse Glioma
ACH-000390,Non-Small Cell Lung Cancer
ACH-000391,Ewing Sarcoma
ACH-000393,Hepatocellular Carcinoma
ACH-000395,Non-Small Cell Lung Cancer
ACH-000396,Bladder Urothelial Carcinoma
ACH-000397,Endometrial Carcinoma
ACH-000398,Mature B-Cell Neoplasms
ACH-000401,Melanoma
ACH-000402,Mature B-Cell Neoplasms
ACH-000403,Colorectal Adenocarcinoma
ACH-000404,Melanoma
ACH-000405,Mature B-Cell Neoplasms
ACH-000406,Acute Myeloid Leukemia
ACH-000407,Endometrial Carcinoma
ACH-000408,Esophageal Squamous Cell Carcinoma
ACH-000410,Osteosarcoma
ACH-000411,Renal Cell Carcinoma
ACH-000414,Non-Small Cell Lung Cancer
ACH-000415,Head and Neck Squamous Cell Carcinoma
ACH-000416,Non-Small Cell Lung Cancer
ACH-000417,Pancreatic Adenocarcinoma
ACH-000420,Hepatocellular Carcinoma
ACH-000421,Colorectal Adenocarcinoma
ACH-000422,Hepatocellular Carcinoma
ACH-000424,Ewing Sarcoma
ACH-000425,Melanoma
ACH-000426,Mature B-Cell Neoplasms
ACH-000427,Esophagogastric Adenocarcinoma
ACH-000430,Ovarian Epithelial Tumor
ACH-000431,Lung Neuroendocrine Tumor
