term,p-value,q-value
G2-M Checkpoint,6.109990453208803e-07,2.6883957994118732e-05
Myc Targets V2,4.562197813581399e-06,0.00010036835189879077
Myc Targets V1,0.00011548285023541372,0.0016937484701194012
Wnt-beta Catenin Signaling,0.0013755409681820978,0.01217056930991689
UV Response Dn,0.0014434070521831058,0.01217056930991689
Cholesterol Homeostasis,0.0016596230877159396,0.01217056930991689
Unfolded Protein Response,0.002012248359539511,0.01264841825996264
IL-6/JAK/STAT3 Signaling,0.01830952215675531,0.1007023718621542
Interferon Alpha Response,0.026094457707318996,0.10254227345832066
mTORC1 Signaling,0.02894721003118788,0.10254227345832066
Inflammatory Response,0.02894721003118788,0.10254227345832066
Interferon Gamma Response,0.02894721003118788,0.10254227345832066
DNA Repair,0.03029658079450383,0.10254227345832066
